City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,chinsali,-10.5414,32.0816,22.71,58,14,3.7,ZM,1682584933
299,kudat,6.8837,116.8477,31.96,70,20,4.63,MY,1682584934
300,puerto real,36.5282,-6.1901,28.67,38,0,5.66,ES,1682584935
301,i-n-salah,27.1935,2.4607,33.48,8,1,11.35,DZ,1682584936
302,yamada,39.4667,141.95,9.97,66,4,2.12,JP,1682584937
303,shiyan,32.6475,110.7781,25.59,46,3,4.45,CN,1682584755
304,rikaze,29.25,88.8833,15.45,9,91,2.88,CN,1682584940
305,presque isle,46.6811,-68.0159,3.43,85,40,0.0,US,1682584940
306,aranda de duero,41.6704,-3.6892,19.74,37,96,2.04,ES,1682584941
307,zumpango del rio,17.65,-99.5,19.21,83,37,2.21,MX,1682584942
308,n'zeto,-7.2312,12.8666,27.98,76,48,0.31,AO,1682584942
309,vengerovo,55.6848,76.7471,23.83,24,100,9.27,RU,1682584943
310,hamilton,39.1834,-84.5333,7.74,70,99,1.79,US,1682584879
311,sungailiat,-1.85,106.1333,29.27,69,100,3.17,ID,1682584944
312,vilyuchinsk,52.9306,158.4028,4.15,80,100,2.46,RU,1682584945
313,broken hill,-31.95,141.4333,24.16,35,33,6.36,AU,1682584946
314,canzo,45.8495,9.2772,16.46,54,37,0.89,IT,1682584947
315,grand-lahou,5.1367,-5.0242,28.91,74,100,4.49,CI,1682584948
316,bathsheba,13.2167,-59.5167,26.34,89,40,2.57,BB,1682584949
317,alice springs,-23.7,133.8833,28.75,32,85,4.12,AU,1682584949
318,pumiao,22.75,108.4833,25.22,76,100,5.89,CN,1682584950
319,sampit,-2.5333,112.95,29.79,73,100,0.78,ID,1682584951
320,firuzabad,28.8438,52.5707,24.2,28,37,6.89,IR,1682584951
321,chegdomyn,51.1167,133.0167,5.04,50,80,3.78,RU,1682584952
322,tamanrasset,22.785,5.5228,26.95,12,0,8.23,DZ,1682584953
323,bida,9.0833,6.0167,30.71,58,82,3.21,NG,1682584954
324,yurga,55.7231,84.8861,9.97,85,100,5.48,RU,1682584954
325,lethem,3.3803,-59.7968,21.61,95,97,1.64,GY,1682584956
326,caluula,11.9661,50.7569,29.24,70,60,6.74,SO,1682584956
327,dapa,9.7594,126.0531,28.69,71,78,3.82,PH,1682584957
328,mudgee,-32.5943,149.5871,15.99,57,0,1.77,AU,1682584958
329,villa regina,-39.1,-67.0667,15.92,37,100,3.91,AR,1682584958
330,konosha,60.9736,40.257,7.82,85,100,3.11,RU,1682584959
331,caleta de carquin,-11.0925,-77.6267,22.97,85,40,3.91,PE,1682584960
332,tazacorte,28.629,-17.9293,22.3,49,0,3.09,ES,1682584960
333,necochea,-38.5473,-58.7368,12.21,90,13,2.5,AR,1682584961
334,koryazhma,61.3143,47.1691,4.42,90,100,4.28,RU,1682584962
335,campoverde,-8.4753,-74.8058,21.76,98,17,0.19,PE,1682584963
336,port isabel,26.0734,-97.2086,25.02,90,75,2.57,US,1682584963
337,island harbour,50.724,-1.2758,12.02,81,100,7.15,GB,1682584964
338,al mindak,20.1588,41.2834,23.78,35,10,4.63,SA,1682584965
339,homer,59.6425,-151.5483,3.78,75,100,0.89,US,1682584966
340,luanda,-8.8368,13.2343,27.0,83,75,2.06,AO,1682584779
341,chulym,55.0997,80.9572,19.97,39,100,6.07,RU,1682584968
342,tralee,52.2704,-9.7026,12.14,82,40,3.6,IE,1682584968
343,chemin grenier,-20.4872,57.4656,27.77,77,88,3.47,MU,1682584918
344,muriti,-1.9833,32.9167,23.11,74,98,1.84,TZ,1682584970
345,yeniseysk,58.4497,92.1703,5.19,55,100,1.91,RU,1682584970
346,faribault,44.295,-93.2688,11.07,50,0,9.26,US,1682584971
347,nema,57.5067,50.5011,13.09,83,100,4.88,RU,1682584971
348,rio rico,31.4715,-110.9765,16.29,30,0,0.0,US,1682584972
349,san benito abad,8.929,-75.0271,26.02,81,100,1.11,CO,1682584972
350,ballina,-28.8667,153.5667,18.21,82,45,3.46,AU,1682584973
351,shobara,34.85,133.0167,17.47,72,87,1.7,JP,1682584974
352,enewetak,11.3474,162.3373,27.08,84,23,9.65,MH,1682584974
353,ciudad lazaro cardenas,17.9583,-102.2,22.83,79,96,1.66,MX,1682584774
354,pathein,16.7833,94.7333,36.79,29,5,7.34,MM,1682584975
355,nadi,-17.8,177.4167,27.0,78,40,3.09,FJ,1682584759
356,ancud,-41.8697,-73.8203,8.03,94,100,1.8,CL,1682584977
357,latacunga,-0.9333,-78.6167,11.19,91,78,1.31,EC,1682584978
358,shimoda,34.6667,138.95,19.2,67,47,4.87,JP,1682584978
359,derazhnya,49.2692,27.4338,6.78,61,83,7.2,UA,1682584979
360,luwuk,-0.9516,122.7875,28.65,83,96,1.29,ID,1682584979
361,pak phanang,8.3511,100.202,35.01,62,100,4.76,TH,1682584980
362,sisimiut,66.9395,-53.6735,-2.9,85,39,4.49,GL,1682584981
